Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
09/01/1990,San Juan County                                             ,1.9%,5.6%,4.5%
09/01/1990,Skagit County                                               ,5.4%,5.6%,4.5%
09/01/1990,Skamania County                                             ,6.6%,5.6%,4.5%
09/01/1990,Clark County                                                ,4%,5.6%,4.5%
09/01/1990,Clallam County                                              ,5.2%,5.6%,4.5%
09/01/1990,Chelan County                                               ,5.5%,5.6%,4.5%
09/01/1990,Benton County                                               ,5%,5.6%,4.5%
09/01/1990,Asotin County                                               ,4.1%,5.6%,4.5%
09/01/1990,Snohomish County                                            ,4.2%,5.6%,4.5%
09/01/1990,Spokane County                                              ,4.8%,5.6%,4.5%
09/01/1990,Adams County                                                ,4.8%,5.6%,4.5%
09/01/1990,Spokane MSA                                                 ,4.8%,5.6%,4.5%
09/01/1990,Stevens County                                              ,6.3%,5.6%,4.5%
09/01/1990,Thurston County                                             ,4.4%,5.6%,4.5%
09/01/1990,Tacoma MSA                                                  ,4.5%,5.6%,4.5%
09/01/1990,Wahkiakum County                                            ,4.8%,5.6%,4.5%
09/01/1990,Bellingham MSA                                              ,4.6%,5.6%,4.5%
09/01/1990,Bremerton-Silverdale MSA                                    ,4%,5.6%,4.5%
09/01/1990,Walla Walla County                                          ,4.5%,5.6%,4.5%
09/01/1990,Seattle-Bellevue-Everett MSA                                ,3.9%,5.6%,4.5%
09/01/1990,Whatcom County                                              ,4.6%,5.6%,4.5%
09/01/1990,Olympia MSA                                                 ,4.4%,5.6%,4.5%
09/01/1990,Yakima MSA                                                  ,6.3%,5.6%,4.5%
09/01/1990,Whitman County                                              ,1.3%,5.6%,4.5%
09/01/1990,Kennewick-Richland-Pasco MSA                                ,5.6%,5.6%,4.5%
09/01/1990,Longview MSA                                                ,5.8%,5.6%,4.5%
10/01/1990,Kennewick-Richland-Pasco MSA                                ,5.4%,5.5%,4.4%
10/01/1990,Longview MSA                                                ,6.4%,5.5%,4.4%
10/01/1990,Mount Vernon-Anacortes MSA                                  ,5.5%,5.5%,4.4%
10/01/1990,Adams County                                                ,4.5%,5.5%,4.4%
10/01/1990,Asotin County                                               ,5%,5.5%,4.4%
10/01/1990,Benton County                                               ,4.9%,5.5%,4.4%
10/01/1990,Chelan County                                               ,4.7%,5.5%,4.4%
10/01/1990,Clallam County                                              ,5.9%,5.5%,4.4%
10/01/1990,Clark County                                                ,4.7%,5.5%,4.4%
10/01/1990,Columbia County                                             ,13.6%,5.5%,4.4%
10/01/1990,Cowlitz County                                              ,6.4%,5.5%,4.4%
10/01/1990,Douglas County                                              ,4.9%,5.5%,4.4%
10/01/1990,Ferry County                                                ,7.7%,5.5%,4.4%
10/01/1990,Franklin County                                             ,7.2%,5.5%,4.4%
10/01/1990,Garfield County                                             ,1.7%,5.5%,4.4%
10/01/1990,Grant County                                                ,5.8%,5.5%,4.4%
10/01/1990,Grays Harbor County                                         ,8.1%,5.5%,4.4%
10/01/1990,Island County                                               ,2.9%,5.5%,4.4%
10/01/1990,Jefferson County                                            ,4.3%,5.5%,4.4%
10/01/1990,King County                                                 ,3.6%,5.5%,4.4%
10/01/1990,Kitsap County                                               ,3.9%,5.5%,4.4%
10/01/1990,Kittitas County                                             ,6%,5.5%,4.4%
10/01/1990,Klickitat County                                            ,8.3%,5.5%,4.4%
10/01/1990,Lewis County                                                ,5.9%,5.5%,4.4%
10/01/1990,Lincoln County                                              ,2.7%,5.5%,4.4%
10/01/1990,Mason County                                                ,4.6%,5.5%,4.4%
10/01/1990,Okanogan County                                             ,5.7%,5.5%,4.4%
10/01/1990,Yakima MSA                                                  ,6.5%,5.5%,4.4%
10/01/1990,Pacific County                                              ,7.4%,5.5%,4.4%
10/01/1990,Pend Oreille County                                         ,11.6%,5.5%,4.4%
10/01/1990,Pierce County                                               ,4.4%,5.5%,4.4%
10/01/1990,Wenatchee MSA                                               ,4.8%,5.5%,4.4%
10/01/1990,San Juan County                                             ,2.2%,5.5%,4.4%
10/01/1990,Skagit County                                               ,5.5%,5.5%,4.4%
10/01/1990,Skamania County                                             ,7%,5.5%,4.4%
10/01/1990,Snohomish County                                            ,3.9%,5.5%,4.4%
10/01/1990,Tacoma MSA                                                  ,4.4%,5.5%,4.4%
10/01/1990,Spokane County                                              ,4.8%,5.5%,4.4%
10/01/1990,Stevens County                                              ,6.7%,5.5%,4.4%
10/01/1990,Spokane MSA                                                 ,4.8%,5.5%,4.4%
10/01/1990,Thurston County                                             ,4.4%,5.5%,4.4%
10/01/1990,Wahkiakum County                                            ,4.4%,5.5%,4.4%
10/01/1990,Walla Walla County                                          ,5.2%,5.5%,4.4%
10/01/1990,Seattle-Bellevue-Everett MSA                                ,3.7%,5.5%,4.4%
10/01/1990,Whatcom County                                              ,4.2%,5.5%,4.4%
10/01/1990,Whitman County                                              ,1.2%,5.5%,4.4%
10/01/1990,Yakima County                                               ,6.5%,5.5%,4.4%
10/01/1990,Bellingham MSA                                              ,4.2%,5.5%,4.4%
10/01/1990,Bremerton-Silverdale MSA                                    ,3.9%,5.5%,4.4%
10/01/1990,Olympia MSA                                                 ,4.4%,5.5%,4.4%
11/01/1990,Olympia MSA                                                 ,4.8%,5.9%,5.5%
11/01/1990,Kitsap County                                               ,4%,5.9%,5.5%
11/01/1990,Skamania County                                             ,8.2%,5.9%,5.5%
11/01/1990,Yakima MSA                                                  ,13.1%,5.9%,5.5%
11/01/1990,Clark County                                                ,4.4%,5.9%,5.5%
11/01/1990,Spokane MSA                                                 ,5.1%,5.9%,5.5%
11/01/1990,Lincoln County                                              ,4.8%,5.9%,5.5%
11/01/1990,Garfield County                                             ,3.4%,5.9%,5.5%
11/01/1990,Skagit County                                               ,7.6%,5.9%,5.5%
11/01/1990,Yakima County                                               ,13.1%,5.9%,5.5%
11/01/1990,Tacoma MSA                                                  ,4.8%,5.9%,5.5%
11/01/1990,Lewis County                                                ,8.2%,5.9%,5.5%
11/01/1990,Bremerton-Silverdale MSA                                    ,4%,5.9%,5.5%
11/01/1990,Pierce County                                               ,4.8%,5.9%,5.5%
11/01/1990,Bellingham MSA                                              ,5%,5.9%,5.5%
11/01/1990,Whatcom County                                              ,5%,5.9%,5.5%
11/01/1990,Klickitat County                                            ,10.9%,5.9%,5.5%
11/01/1990,Stevens County                                              ,8.5%,5.9%,5.5%
11/01/1990,Kittitas County                                             ,7.5%,5.9%,5.5%
